"","gene_short_name","feature"
"TMEM51.AS1","TMEM51-AS1","NA"
"TMEM51","TMEM51","NA"
"C1orf195","C1ORF195","NA"
"FHAD1","FHAD1","NA"
"AL031283.2","AL031283.2","NA"
"AL031283.3","AL031283.3","NA"
"AL031283.1","AL031283.1","NA"
"EFHD2","EFHD2","NA"
"CTRC","CTRC","NA"
"CELA2A","CELA2A","NA"
"CELA2B","CELA2B","NA"
"CASP9","CASP9","NA"
"DNAJC16","DNAJC16","NA"
"AL121992.3","AL121992.3","NA"
"AGMAT","AGMAT","NA"
"AL121992.1","AL121992.1","NA"
"DDI2","DDI2","NA"
"RSC1A1","RSC1A1","NA"
"AL121992.2","AL121992.2","NA"
"PLEKHM2","PLEKHM2","NA"
"AL450998.3","AL450998.3","NA"
"SLC25A34","SLC25A34","NA"
"SLC25A34.AS1","SLC25A34-AS1","NA"
"TMEM82","TMEM82","NA"
"FBLIM1","FBLIM1","NA"
"UQCRHL","UQCRHL","NA"
"AL450998.2","AL450998.2","NA"
"SPEN","SPEN","NA"
"ZBTB17","ZBTB17","NA"
"SRARP","SRARP","NA"
"AL355994.3","AL355994.3","NA"
"HSPB7","HSPB7","NA"
"CLCNKA","CLCNKA","NA"
"CLCNKB","CLCNKB","NA"
"FAM131C","FAM131C","NA"
"EPHA2","EPHA2","NA"
"AL451042.2","AL451042.2","NA"
"AL451042.1","AL451042.1","NA"
"ARHGEF19.AS1","ARHGEF19-AS1","NA"
"ARHGEF19","ARHGEF19","NA"
"CPLANE2","CPLANE2","NA"
"FBXO42","FBXO42","NA"
"SZRD1","SZRD1","NA"
"SPATA21","SPATA21","NA"
"NECAP2","NECAP2","NA"
"LINC01772","LINC01772","NA"
"AL137802.2","AL137802.2","NA"
"AL137802.1","AL137802.1","NA"
"LINC01783","LINC01783","NA"
"NBPF1","NBPF1","NA"
"AL137798.1","AL137798.1","NA"
"AL137798.2","AL137798.2","NA"
"AL021920.1","AL021920.1","NA"
"AL021920.3","AL021920.3","NA"
"CROCC","CROCC","NA"
"BX284668.1","BX284668.1","NA"
"BX284668.2","BX284668.2","NA"
"BX284668.5","BX284668.5","NA"
"BX284668.6","BX284668.6","NA"
"MFAP2","MFAP2","NA"
"AL049569.1","AL049569.1","NA"
"ATP13A2","ATP13A2","NA"
"SDHB","SDHB","NA"
"PADI2","PADI2","NA"
"AL590644.1","AL590644.1","NA"
"AL590644.3","AL590644.3","NA"
"PADI1","PADI1","NA"
"PADI3","PADI3","NA"
"PADI4","PADI4","NA"
"PADI6","PADI6","NA"
"AC004824.1","AC004824.1","NA"
"RCC2","RCC2","NA"
"ARHGEF10L","ARHGEF10L","NA"
"AL136529.1","AL136529.1","NA"
"ACTL8","ACTL8","NA"
"AL357509.1","AL357509.1","NA"
"LINC01654","LINC01654","NA"
"IGSF21","IGSF21","NA"
"IGSF21.AS1","IGSF21-AS1","NA"
"AL591896.1","AL591896.1","NA"
"KLHDC7A","KLHDC7A","NA"
"PAX7","PAX7","NA"
"TAS1R2","TAS1R2","NA"
"AL080251.1","AL080251.1","NA"
"ALDH4A1","ALDH4A1","NA"
"IFFO2","IFFO2","NA"
"UBR4","UBR4","NA"
