"","gene_short_name","feature"
"AC005703.3","AC005703.3","NA"
"AC005703.1","AC005703.1","NA"
"AC005703.2","AC005703.2","NA"
"TEKT3","TEKT3","NA"
"AC005703.4","AC005703.4","NA"
"CDRT4","CDRT4","NA"
"TVP23C.CDRT4","TVP23C-CDRT4","NA"
"TVP23C","TVP23C","NA"
"AC005838.2","AC005838.2","NA"
"CDRT1","CDRT1","NA"
"AC005324.3","AC005324.3","NA"
"TRIM16","TRIM16","NA"
"AC005324.5","AC005324.5","NA"
"ZNF286A","ZNF286A","NA"
"AC005324.4","AC005324.4","NA"
"TBC1D26","TBC1D26","NA"
"AC005324.1","AC005324.1","NA"
"AC005324.2","AC005324.2","NA"
"AC015922.3","AC015922.3","NA"
"AC015922.4","AC015922.4","NA"
"LINC02087","LINC02087","NA"
"ADORA2B","ADORA2B","NA"
"ZSWIM7","ZSWIM7","NA"
"TTC19","TTC19","NA"
"AC002553.2","AC002553.2","NA"
"NCOR1","NCOR1","NA"
"AC002553.1","AC002553.1","NA"
"PIGL","PIGL","NA"
"CENPV","CENPV","NA"
"UBB","UBB","NA"
"AC093484.3","AC093484.3","NA"
"AC093484.2","AC093484.2","NA"
"TRPV2","TRPV2","NA"
"AC093484.4","AC093484.4","NA"
"LRRC75A","LRRC75A","NA"
"ZNF287","ZNF287","NA"
"ZNF624","ZNF624","NA"
"AC098850.2","AC098850.2","NA"
"CCDC144A","CCDC144A","NA"
"AC098850.3","AC098850.3","NA"
"AC098850.1","AC098850.1","NA"
"AC022596.1","AC022596.1","NA"
"AC022596.2","AC022596.2","NA"
"TNFRSF13B","TNFRSF13B","NA"
"AC104024.1","AC104024.1","NA"
"LINC02090","LINC02090","NA"
"AC104024.2","AC104024.2","NA"
"MPRIP","MPRIP","NA"
"MPRIP.AS1","MPRIP-AS1","NA"
"AC055811.1","AC055811.1","NA"
"PLD6","PLD6","NA"
"AC055811.2","AC055811.2","NA"
"FLCN","FLCN","NA"
"AC055811.3","AC055811.3","NA"
"COPS3","COPS3","NA"
"NT5M","NT5M","NA"
"MED9","MED9","NA"
"RASD1","RASD1","NA"
"PEMT","PEMT","NA"
"AC020558.2","AC020558.2","NA"
"AC020558.1","AC020558.1","NA"
"SMCR2","SMCR2","NA"
"RAI1","RAI1","NA"
"RAI1.AS1","RAI1-AS1","NA"
"SMCR5","SMCR5","NA"
"SREBF1","SREBF1","NA"
"TOM1L2","TOM1L2","NA"
"AC122129.1","AC122129.1","NA"
"DRC3","DRC3","NA"
"ATPAF2","ATPAF2","NA"
"GID4","GID4","NA"
"DRG2","DRG2","NA"
"MYO15A","MYO15A","NA"
"AC087164.1","AC087164.1","NA"
"ALKBH5","ALKBH5","NA"
"LLGL1","LLGL1","NA"
"FLII","FLII","NA"
"MIEF2","MIEF2","NA"
"AC127537.1","AC127537.1","NA"
"TOP3A","TOP3A","NA"
"SMCR8","SMCR8","NA"
"SHMT1","SHMT1","NA"
"EVPLL","EVPLL","NA"
"AL353997.2","AL353997.2","NA"
"LINC02076","LINC02076","NA"
"LGALS9C","LGALS9C","NA"
"TBC1D28","TBC1D28","NA"
"ZNF286B","ZNF286B","NA"
"TRIM16L","TRIM16L","NA"
"FBXW10","FBXW10","NA"
"TVP23B","TVP23B","NA"
"AC107982.3","AC107982.3","NA"
"PRPSAP2","PRPSAP2","NA"
"AC107982.2","AC107982.2","NA"
"SLC5A10","SLC5A10","NA"
"AC090286.1","AC090286.1","NA"
"FAM83G","FAM83G","NA"
"GRAP","GRAP","NA"
"AC007952.3","AC007952.3","NA"
"AC007952.7","AC007952.7","NA"
"AC007952.4","AC007952.4","NA"
"GRAPL","GRAPL","NA"
"AC007952.6","AC007952.6","NA"
"AC007952.1","AC007952.1","NA"
"AC007952.5","AC007952.5","NA"
"AC007952.8","AC007952.8","NA"
"AC106017.1","AC106017.1","NA"
"EPN2","EPN2","NA"
"AC106017.2","AC106017.2","NA"
"EPN2.AS1","EPN2-AS1","NA"
"AC124066.1","AC124066.1","NA"
"B9D1","B9D1","NA"
"MAPK7","MAPK7","NA"
"MFAP4","MFAP4","NA"
"RNF112","RNF112","NA"
"AC004448.3","AC004448.3","NA"
"AC004448.2","AC004448.2","NA"
"LINC02094","LINC02094","NA"
"AC004448.1","AC004448.1","NA"
"SLC47A1","SLC47A1","NA"
"AC025627.1","AC025627.1","NA"
"ALDH3A2","ALDH3A2","NA"
"AC115989.2","AC115989.2","NA"
"SLC47A2","SLC47A2","NA"
"AC005722.2","AC005722.2","NA"
"AC005722.3","AC005722.3","NA"
"ALDH3A1","ALDH3A1","NA"
"ULK2","ULK2","NA"
"AC015726.2","AC015726.2","NA"
"AC015726.1","AC015726.1","NA"
"AKAP10","AKAP10","NA"
"AC005730.2","AC005730.2","NA"
"SPECC1","SPECC1","NA"
"AC004702.1","AC004702.1","NA"
"LINC01984","LINC01984","NA"
"LGALS9B","LGALS9B","NA"
"AC015818.8","AC015818.8","NA"
"AC015818.2","AC015818.2","NA"
"AC015818.9","AC015818.9","NA"
"AC015818.4","AC015818.4","NA"
"CDRT15L2","CDRT15L2","NA"
"LINC02088","LINC02088","NA"
"AC126365.1","AC126365.1","NA"
"CCDC144NL","CCDC144NL","NA"
"AC090774.3","AC090774.3","NA"
"CCDC144NL.AS1","CCDC144NL-AS1","NA"
"AC107926.1","AC107926.1","NA"
"USP22","USP22","NA"
"AC087393.2","AC087393.2","NA"
"LINC01563","LINC01563","NA"
"DHRS7B","DHRS7B","NA"
"TMEM11","TMEM11","NA"
"AC087294.1","AC087294.1","NA"
"NATD1","NATD1","NA"
"MAP2K3","MAP2K3","NA"
"KCNJ12","KCNJ12","NA"
"AC068418.2","AC068418.2","NA"
"AC068418.1","AC068418.1","NA"
"AC233702.5","AC233702.5","NA"
"C17orf51","C17ORF51","NA"
"AC233702.7","AC233702.7","NA"
"KCNJ18","KCNJ18","NA"
"LINC02002","LINC02002","NA"
"AC138761.3","AC138761.3","NA"
"FAM27E5","FAM27E5","NA"
"AC209154.2","AC209154.2","NA"
"AC132825.3","AC132825.3","NA"
"MTRNR2L1","MTRNR2L1","NA"
"AC132825.2","AC132825.2","NA"
"AC131274.1","AC131274.1","NA"
"AC131274.4","AC131274.4","NA"
"AC069061.2","AC069061.2","NA"
"AC129926.1","AC129926.1","NA"
"WSB1","WSB1","NA"
"AC026254.2","AC026254.2","NA"
"KSR1","KSR1","NA"
"AC015688.4","AC015688.4","NA"
"AC015688.6","AC015688.6","NA"
"LGALS9","LGALS9","NA"
"NOS2","NOS2","NA"
"AC005697.1","AC005697.1","NA"
"AC005697.2","AC005697.2","NA"
"LYRM9","LYRM9","NA"
"LINC01992","LINC01992","NA"
"NLK","NLK","NA"
"AC061975.7","AC061975.7","NA"
"ERVE.1","ERVE-1","NA"
"AC061975.6","AC061975.6","NA"
"AC061975.4","AC061975.4","NA"
"AC061975.1","AC061975.1","NA"
"TMEM97","TMEM97","NA"
"IFT20","IFT20","NA"
"TNFAIP1","TNFAIP1","NA"
"POLDIP2","POLDIP2","NA"
"TMEM199","TMEM199","NA"
"AC002094.2","AC002094.2","NA"
"SEBOX","SEBOX","NA"
"AC002094.3","AC002094.3","NA"
"SARM1","SARM1","NA"
"VTN","VTN","NA"
"SLC46A1","SLC46A1","NA"
"AC015917.2","AC015917.2","NA"
"AC005726.1","AC005726.1","NA"
"SLC13A2","SLC13A2","NA"
"FOXN1","FOXN1","NA"
"UNC119","UNC119","NA"
"PIGS","PIGS","NA"
"ALDOC","ALDOC","NA"
"AC005726.4","AC005726.4","NA"
"SPAG5","SPAG5","NA"
"AC005726.5","AC005726.5","NA"
"SGK494","SGK494","NA"
"KIAA0100","KIAA0100","NA"
"AC005726.2","AC005726.2","NA"
"SDF2","SDF2","NA"
"SUPT6H","SUPT6H","NA"
"AC010761.3","AC010761.3","NA"
"PROCA1","PROCA1","NA"
"RAB34","RAB34","NA"
"RPL23A","RPL23A","NA"
"AC010761.1","AC010761.1","NA"
"TLCD1","TLCD1","NA"
"NEK8","NEK8","NA"
"AC010761.6","AC010761.6","NA"
"AC010761.2","AC010761.2","NA"
"TRAF4","TRAF4","NA"
"AC010761.4","AC010761.4","NA"
"AC010761.5","AC010761.5","NA"
"FAM222B","FAM222B","NA"
"ERAL1","ERAL1","NA"
"AC024267.1","AC024267.1","NA"
"FLOT2","FLOT2","NA"
"AC024267.3","AC024267.3","NA"
"AC024267.6","AC024267.6","NA"
"DHRS13","DHRS13","NA"
"PHF12","PHF12","NA"
"AC024267.4","AC024267.4","NA"
"AC024267.5","AC024267.5","NA"
"PIPOX","PIPOX","NA"
"SEZ6","SEZ6","NA"
"AC024619.2","AC024619.2","NA"
"MYO18A","MYO18A","NA"
"TIAF1","TIAF1","NA"
"AC024619.3","AC024619.3","NA"
"CRYBA1","CRYBA1","NA"
"NUFIP2","NUFIP2","NA"
"AC068025.2","AC068025.2","NA"
"AC068025.1","AC068025.1","NA"
"TAOK1","TAOK1","NA"
"ABHD15.AS1","ABHD15-AS1","NA"
"ABHD15","ABHD15","NA"
"TP53I13","TP53I13","NA"
"GIT1","GIT1","NA"
"ANKRD13B","ANKRD13B","NA"
"AC104564.4","AC104564.4","NA"
"CORO6","CORO6","NA"
"SSH2","SSH2","NA"
"AC104564.1","AC104564.1","NA"
"AC023389.1","AC023389.1","NA"
"AC104982.1","AC104982.1","NA"
"EFCAB5","EFCAB5","NA"
"AC104996.1","AC104996.1","NA"
"AC104984.2","AC104984.2","NA"
"NSRP1","NSRP1","NA"
"AC104984.3","AC104984.3","NA"
"AC104984.6","AC104984.6","NA"
"SLC6A4","SLC6A4","NA"
"AC104984.1","AC104984.1","NA"
"AC104984.4","AC104984.4","NA"
"BLMH","BLMH","NA"
"TMIGD1","TMIGD1","NA"
"CPD","CPD","NA"
"GOSR1","GOSR1","NA"
"AC011840.3","AC011840.3","NA"
"TBC1D29","TBC1D29","NA"
"AC011840.5","AC011840.5","NA"
"AC011840.2","AC011840.2","NA"
"AC127024.3","AC127024.3","NA"
"AC127024.2","AC127024.2","NA"
"CRLF3","CRLF3","NA"
"AC127024.5","AC127024.5","NA"
"AC127024.6","AC127024.6","NA"
"ATAD5","ATAD5","NA"
"AC130324.2","AC130324.2","NA"
"AC130324.1","AC130324.1","NA"
"TEFM","TEFM","NA"
"AC130324.3","AC130324.3","NA"
"ADAP2","ADAP2","NA"
"AC138207.1","AC138207.1","NA"
"AC138207.5","AC138207.5","NA"
"RNF135","RNF135","NA"
"AC138207.7","AC138207.7","NA"
"AC138207.2","AC138207.2","NA"
"NF1","NF1","NA"
"OMG","OMG","NA"
"EVI2B","EVI2B","NA"
"AC134669.1","AC134669.1","NA"
"EVI2A","EVI2A","NA"
"RAB11FIP4","RAB11FIP4","NA"
"AC003101.2","AC003101.2","NA"
"AC003101.1","AC003101.1","NA"
"AC007923.4","AC007923.4","NA"
"AC007923.1","AC007923.1","NA"
"AC004253.2","AC004253.2","NA"
"COPRS","COPRS","NA"
"UTP6","UTP6","NA"
"AC004253.1","AC004253.1","NA"
"SUZ12","SUZ12","NA"
"LRRC37B","LRRC37B","NA"
"AC116407.2","AC116407.2","NA"
"AC116407.1","AC116407.1","NA"
"RHOT1","RHOT1","NA"
"RHBDL3","RHBDL3","NA"
"AC026620.1","AC026620.1","NA"
"C17orf75","C17ORF75","NA"
"AC005899.3","AC005899.3","NA"
"ZNF207","ZNF207","NA"
"AC005899.6","AC005899.6","NA"
"AC005899.7","AC005899.7","NA"
"AC005899.5","AC005899.5","NA"
"AC005899.8","AC005899.8","NA"
"AC005899.1","AC005899.1","NA"
"PSMD11","PSMD11","NA"
"CDK5R1","CDK5R1","NA"
"MYO1D","MYO1D","NA"
"AC079336.5","AC079336.5","NA"
"AC079336.4","AC079336.4","NA"
"AC025211.1","AC025211.1","NA"
"AC084809.1","AC084809.1","NA"
"AC084809.2","AC084809.2","NA"
"TMEM98","TMEM98","NA"
"SPACA3","SPACA3","NA"
"ASIC2","ASIC2","NA"
"AC008133.1","AC008133.1","NA"
"AC011824.4","AC011824.4","NA"
"AC011824.2","AC011824.2","NA"
"AC011824.1","AC011824.1","NA"
"AC024614.1","AC024614.1","NA"
"AC024614.2","AC024614.2","NA"
"AC024614.4","AC024614.4","NA"
"AC024610.2","AC024610.2","NA"
"AC024610.1","AC024610.1","NA"
"AC004147.3","AC004147.3","NA"
"AC004147.2","AC004147.2","NA"
"LINC01989","LINC01989","NA"
"AC005549.1","AC005549.1","NA"
"CCL2","CCL2","NA"
"CCL7","CCL7","NA"
"CCL11","CCL11","NA"
"CCL8","CCL8","NA"
"CCL13","CCL13","NA"
"CCL1","CCL1","NA"
"AC011193.1","AC011193.1","NA"
"TMEM132E","TMEM132E","NA"
"AC005552.1","AC005552.1","NA"
"AC022903.1","AC022903.1","NA"
"CCT6B","CCT6B","NA"
"ZNF830","ZNF830","NA"
"LIG3","LIG3","NA"
"RFFL","RFFL","NA"
"AC004223.3","AC004223.3","NA"
"AC004223.4","AC004223.4","NA"
"AC004223.2","AC004223.2","NA"
"RAD51D","RAD51D","NA"
"FNDC8","FNDC8","NA"
"NLE1","NLE1","NA"
"UNC45B","UNC45B","NA"
"AC022916.4","AC022916.4","NA"
"SLC35G3","SLC35G3","NA"
"AC022916.1","AC022916.1","NA"
"SLFN5","SLFN5","NA"
"AC022706.1","AC022706.1","NA"
"SLFN11","SLFN11","NA"
"AC060766.6","AC060766.6","NA"
"AC060766.4","AC060766.4","NA"
"SLFN12","SLFN12","NA"
"SLFN13","SLFN13","NA"
"SLFN12L","SLFN12L","NA"
"AC015911.5","AC015911.5","NA"
"AC015911.2","AC015911.2","NA"
"SLFN14","SLFN14","NA"
"AC015911.6","AC015911.6","NA"
"AC015911.9","AC015911.9","NA"
"LINC02001","LINC02001","NA"
"PEX12","PEX12","NA"
"AP2B1","AP2B1","NA"
"TAF15","TAF15","NA"
"RASL10B","RASL10B","NA"
"GAS2L2","GAS2L2","NA"
"MMP28","MMP28","NA"
"C17orf50","C17ORF50","NA"
"AC015849.2","AC015849.2","NA"
"AC015849.3","AC015849.3","NA"
"HEATR9","HEATR9","NA"
"AC015849.1","AC015849.1","NA"
"CCL5","CCL5","NA"
"AC015849.5","AC015849.5","NA"
"RDM1","RDM1","NA"
"LYZL6","LYZL6","NA"
"CCL16","CCL16","NA"
"CCL14","CCL14","NA"
"AC244100.2","AC244100.2","NA"
"CCL15.CCL14","CCL15-CCL14","NA"
"CCL15","CCL15","NA"
"AC244100.3","AC244100.3","NA"
"AC244100.4","AC244100.4","NA"
"CCL23","CCL23","NA"
"CCL18","CCL18","NA"
"AC243829.4","AC243829.4","NA"
"CCL3","CCL3","NA"
"CCL4","CCL4","NA"
"AC243829.2","AC243829.2","NA"
"TBC1D3B","TBC1D3B","NA"
"AC243829.1","AC243829.1","NA"
"CCL3L1","CCL3L1","NA"
"CCL4L2","CCL4L2","NA"
"AC243829.5","AC243829.5","NA"
"TBC1D3I","TBC1D3I","NA"
"TBC1D3G","TBC1D3G","NA"
"TBC1D3H","TBC1D3H","NA"
"TBC1D3F","TBC1D3F","NA"
"ZNHIT3","ZNHIT3","NA"
"MYO19","MYO19","NA"
"PIGW","PIGW","NA"
"GGNBP2","GGNBP2","NA"
"DHRS11","DHRS11","NA"
"MRM1","MRM1","NA"
"AC243830.2","AC243830.2","NA"
"AC243830.3","AC243830.3","NA"
"AC243830.1","AC243830.1","NA"
"LHX1.DT","LHX1-DT","NA"
"LHX1","LHX1","NA"
"AC243773.1","AC243773.1","NA"
"AATF","AATF","NA"
"AC244093.5","AC244093.5","NA"
"ACACA","ACACA","NA"
"C17orf78","C17ORF78","NA"
"TADA2A","TADA2A","NA"
"AC243654.1","AC243654.1","NA"
"DUSP14","DUSP14","NA"
"SYNRG","SYNRG","NA"
"DDX52","DDX52","NA"
"AC243585.2","AC243585.2","NA"
"AC243571.2","AC243571.2","NA"
"AC243585.1","AC243585.1","NA"
"HNF1B","HNF1B","NA"
"AC243571.1","AC243571.1","NA"
"TBC1D3K","TBC1D3K","NA"
"TBC1D3L","TBC1D3L","NA"
"TBC1D3D","TBC1D3D","NA"
"TBC1D3C","TBC1D3C","NA"
"TBC1D3E","TBC1D3E","NA"
"TBC1D3","TBC1D3","NA"
"MRPL45","MRPL45","NA"
"GPR179","GPR179","NA"
"SOCS7","SOCS7","NA"
"ARHGAP23","ARHGAP23","NA"
"SRCIN1","SRCIN1","NA"
"AC006449.1","AC006449.1","NA"
"EPOP","EPOP","NA"
"AC006449.6","AC006449.6","NA"
"AC006449.2","AC006449.2","NA"
"MLLT6","MLLT6","NA"
"AC006449.3","AC006449.3","NA"
"CISD3","CISD3","NA"
"PCGF2","PCGF2","NA"
"AC006449.5","AC006449.5","NA"
"PSMB3","PSMB3","NA"
"PIP4K2B","PIP4K2B","NA"
"CWC25","CWC25","NA"
"C17orf98","C17ORF98","NA"
"RPL23","RPL23","NA"
"LASP1","LASP1","NA"
"AC006441.1","AC006441.1","NA"
"AC006441.3","AC006441.3","NA"
"LINC00672","LINC00672","NA"
"FBXO47","FBXO47","NA"
"AC006441.4","AC006441.4","NA"
"LINC02079","LINC02079","NA"
"PLXDC1","PLXDC1","NA"
"ARL5C","ARL5C","NA"
"AC004408.1","AC004408.1","NA"
"CACNB1","CACNB1","NA"
"RPL19","RPL19","NA"
"STAC2","STAC2","NA"
"FBXL20","FBXL20","NA"
"AC005288.1","AC005288.1","NA"
"MED1","MED1","NA"
"CDK12","CDK12","NA"
"AC009283.1","AC009283.1","NA"
"NEUROD2","NEUROD2","NA"
"AC087491.1","AC087491.1","NA"
"PPP1R1B","PPP1R1B","NA"
"STARD3","STARD3","NA"
"TCAP","TCAP","NA"
"PNMT","PNMT","NA"
"PGAP3","PGAP3","NA"
"ERBB2","ERBB2","NA"
"MIEN1","MIEN1","NA"
"GRB7","GRB7","NA"
"IKZF3","IKZF3","NA"
"ZPBP2","ZPBP2","NA"
"GSDMB","GSDMB","NA"
"ORMDL3","ORMDL3","NA"
"AC090844.2","AC090844.2","NA"
"LRRC3C","LRRC3C","NA"
"GSDMA","GSDMA","NA"
"PSMD3","PSMD3","NA"
"AC090844.3","AC090844.3","NA"
"CSF3","CSF3","NA"
"MED24","MED24","NA"
"THRA","THRA","NA"
"NR1D1","NR1D1","NA"
"MSL1","MSL1","NA"
"CASC3","CASC3","NA"
"RAPGEFL1","RAPGEFL1","NA"
"WIPF2","WIPF2","NA"
"CDC6","CDC6","NA"
"RARA","RARA","NA"
"RARA.AS1","RARA-AS1","NA"
"AC080112.1","AC080112.1","NA"
"GJD3","GJD3","NA"
"TOP2A","TOP2A","NA"
"IGFBP4","IGFBP4","NA"
"TNS4","TNS4","NA"
"AC004585.1","AC004585.1","NA"
"CCR7","CCR7","NA"
"SMARCE1","SMARCE1","NA"
"AC073508.2","AC073508.2","NA"
"AC073508.3","AC073508.3","NA"
"KRT222","KRT222","NA"
"KRT24","KRT24","NA"
"KRT25","KRT25","NA"
"KRT26","KRT26","NA"
"KRT27","KRT27","NA"
"KRT28","KRT28","NA"
"AC090283.1","AC090283.1","NA"
"KRT10","KRT10","NA"
"TMEM99","TMEM99","NA"
"AC004231.3","AC004231.3","NA"
"KRT12","KRT12","NA"
"KRT20","KRT20","NA"
"AC004231.1","AC004231.1","NA"
"KRT23","KRT23","NA"
"KRT39","KRT39","NA"
"KRT40","KRT40","NA"
"KRTAP3.3","KRTAP3-3","NA"
"KRTAP3.2","KRTAP3-2","NA"
"KRTAP3.1","KRTAP3-1","NA"
"KRTAP1.5","KRTAP1-5","NA"
"KRTAP1.4","KRTAP1-4","NA"
"KRTAP1.3","KRTAP1-3","NA"
"KRTAP1.1","KRTAP1-1","NA"
"KRTAP2.1","KRTAP2-1","NA"
"KRTAP2.2","KRTAP2-2","NA"
"KRTAP2.3","KRTAP2-3","NA"
"KRTAP2.4","KRTAP2-4","NA"
"KRTAP4.7","KRTAP4-7","NA"
"KRTAP4.8","KRTAP4-8","NA"
"KRTAP4.16","KRTAP4-16","NA"
"KRTAP4.9","KRTAP4-9","NA"
"KRTAP4.11","KRTAP4-11","NA"
"KRTAP4.12","KRTAP4-12","NA"
"KRTAP4.6","KRTAP4-6","NA"
"KRTAP4.5","KRTAP4-5","NA"
"KRTAP4.4","KRTAP4-4","NA"
"KRTAP4.3","KRTAP4-3","NA"
"KRTAP4.2","KRTAP4-2","NA"
"KRTAP4.1","KRTAP4-1","NA"
"KRTAP9.1","KRTAP9-1","NA"
"KRTAP9.2","KRTAP9-2","NA"
"KRTAP9.3","KRTAP9-3","NA"
"KRTAP9.8","KRTAP9-8","NA"
"KRTAP9.4","KRTAP9-4","NA"
"KRTAP9.9","KRTAP9-9","NA"
"KRTAP9.6","KRTAP9-6","NA"
"KRTAP9.7","KRTAP9-7","NA"
"KRTAP29.1","KRTAP29-1","NA"
"KRTAP16.1","KRTAP16-1","NA"
"KRTAP17.1","KRTAP17-1","NA"
"KRT33A","KRT33A","NA"
"KRT33B","KRT33B","NA"
"KRT34","KRT34","NA"
"KRT31","KRT31","NA"
"AC003958.2","AC003958.2","NA"
"KRT37","KRT37","NA"
"KRT38","KRT38","NA"
"KRT32","KRT32","NA"
"KRT35","KRT35","NA"
"KRT36","KRT36","NA"
"KRT13","KRT13","NA"
"AC019349.1","AC019349.1","NA"
"KRT15","KRT15","NA"
"KRT19","KRT19","NA"
"LINC00974","LINC00974","NA"
"KRT9","KRT9","NA"
"KRT14","KRT14","NA"
"KRT16","KRT16","NA"
"KRT17","KRT17","NA"
"EIF1","EIF1","NA"
"GAST","GAST","NA"
"HAP1","HAP1","NA"
"JUP","JUP","NA"
"P3H4","P3H4","NA"
"FKBP10","FKBP10","NA"
"NT5C3B","NT5C3B","NA"
"KLHL10","KLHL10","NA"
"KLHL11","KLHL11","NA"
"ACLY","ACLY","NA"
"AC125257.2","AC125257.2","NA"
"TTC25","TTC25","NA"
"CNP","CNP","NA"
"DNAJC7","DNAJC7","NA"
"NKIRAS2","NKIRAS2","NA"
"ZNF385C","ZNF385C","NA"
"C17orf113","C17ORF113","NA"
"DHX58","DHX58","NA"
"KAT2A","KAT2A","NA"
"AC099811.2","AC099811.2","NA"
"HSPB9","HSPB9","NA"
"RAB5C","RAB5C","NA"
"AC099811.3","AC099811.3","NA"
"KCNH4","KCNH4","NA"
"HCRT","HCRT","NA"
"GHDC","GHDC","NA"
"STAT5B","STAT5B","NA"
"AC099811.4","AC099811.4","NA"
"STAT5A","STAT5A","NA"
"STAT3","STAT3","NA"
"CAVIN1","CAVIN1","NA"
"ATP6V0A1","ATP6V0A1","NA"
"NAGLU","NAGLU","NA"
"HSD17B1","HSD17B1","NA"
"AC067852.2","AC067852.2","NA"
"COASY","COASY","NA"
"MLX","MLX","NA"
"PSMC3IP","PSMC3IP","NA"
"RETREG3","RETREG3","NA"
"TUBG1","TUBG1","NA"
"TUBG2","TUBG2","NA"
"PLEKHH3","PLEKHH3","NA"
"CCR10","CCR10","NA"
"AC100793.2","AC100793.2","NA"
"CNTNAP1","CNTNAP1","NA"
"AC100793.3","AC100793.3","NA"
"EZH1","EZH1","NA"
"AC100793.4","AC100793.4","NA"
"RAMP2.AS1","RAMP2-AS1","NA"
"RAMP2","RAMP2","NA"
"VPS25","VPS25","NA"
"WNK4","WNK4","NA"
"COA3","COA3","NA"
"CNTD1","CNTD1","NA"
"BECN1","BECN1","NA"
"PSME3","PSME3","NA"
"AOC2","AOC2","NA"
"AOC3","AOC3","NA"
"LINC00671","LINC00671","NA"
"G6PC","G6PC","NA"
"PTGES3L.AARSD1","PTGES3L-AARSD1","NA"
"AARSD1","AARSD1","NA"
"PTGES3L","PTGES3L","NA"
"RUNDC1","RUNDC1","NA"
"RPL27","RPL27","NA"
"IFI35","IFI35","NA"
"VAT1","VAT1","NA"
"RND2","RND2","NA"
"BRCA1","BRCA1","NA"
"AC060780.1","AC060780.1","NA"
"NBR1","NBR1","NA"
"TMEM106A","TMEM106A","NA"
"LINC00854","LINC00854","NA"
"LINC00910","LINC00910","NA"
"ARL4D","ARL4D","NA"
"MIR2117HG","MIR2117HG","NA"
"DHX8","DHX8","NA"
"ETV4","ETV4","NA"
"AC068675.1","AC068675.1","NA"
"MEOX1","MEOX1","NA"
"AC004149.1","AC004149.1","NA"
"SOST","SOST","NA"
"DUSP3","DUSP3","NA"
"CFAP97D1","CFAP97D1","NA"
"AC003098.1","AC003098.1","NA"
"MPP3","MPP3","NA"
"CD300LG","CD300LG","NA"
"MPP2","MPP2","NA"
"AC007993.3","AC007993.3","NA"
"FAM215A","FAM215A","NA"
"AC007993.2","AC007993.2","NA"
"LINC01976","LINC01976","NA"
"PPY","PPY","NA"
"PYY","PYY","NA"
"NAGS","NAGS","NA"
"TMEM101","TMEM101","NA"
"LSM12","LSM12","NA"
"G6PC3","G6PC3","NA"
"HDAC5","HDAC5","NA"
"AC023855.1","AC023855.1","NA"
"C17orf53","C17ORF53","NA"
"ASB16","ASB16","NA"
"ASB16.AS1","ASB16-AS1","NA"
"TMUB2","TMUB2","NA"
"ATXN7L3","ATXN7L3","NA"
"AC004596.1","AC004596.1","NA"
"UBTF","UBTF","NA"
"AC003102.1","AC003102.1","NA"
"SLC4A1","SLC4A1","NA"
"AC003043.2","AC003043.2","NA"
"RUNDC3A.AS1","RUNDC3A-AS1","NA"
"RUNDC3A","RUNDC3A","NA"
"SLC25A39","SLC25A39","NA"
"AC003043.1","AC003043.1","NA"
"GRN","GRN","NA"
"FAM171A2","FAM171A2","NA"
"ITGA2B","ITGA2B","NA"
"GPATCH8","GPATCH8","NA"
"FZD2","FZD2","NA"
"LINC01180","LINC01180","NA"
"MEIOC","MEIOC","NA"
"CCDC43","CCDC43","NA"
"AC091152.2","AC091152.2","NA"
"DBF4B","DBF4B","NA"
"ADAM11","ADAM11","NA"
"AC005180.2","AC005180.2","NA"
"AC005180.1","AC005180.1","NA"
"GJC1","GJC1","NA"
"HIGD1B","HIGD1B","NA"
"EFTUD2","EFTUD2","NA"
"CCDC103","CCDC103","NA"
"FAM187A","FAM187A","NA"
"GFAP","GFAP","NA"
"KIF18B","KIF18B","NA"
"AC015936.1","AC015936.1","NA"
"C1QL1","C1QL1","NA"
"AC015936.2","AC015936.2","NA"
"DCAKD","DCAKD","NA"
"NMT1","NMT1","NA"
"PLCD3","PLCD3","NA"
"ACBD4","ACBD4","NA"
"AC142472.1","AC142472.1","NA"
"HEXIM1","HEXIM1","NA"
"AC138150.1","AC138150.1","NA"
"HEXIM2","HEXIM2","NA"
"AC138150.2","AC138150.2","NA"
"AC008105.3","AC008105.3","NA"
"FMNL1","FMNL1","NA"
"AC008105.1","AC008105.1","NA"
"MAP3K14.AS1","MAP3K14-AS1","NA"
"SPATA32","SPATA32","NA"
"MAP3K14","MAP3K14","NA"
"AC003070.2","AC003070.2","NA"
"ARHGAP27","ARHGAP27","NA"
"AC003070.1","AC003070.1","NA"
"PLEKHM1","PLEKHM1","NA"
"AC091132.2","AC091132.2","NA"
"AC091132.1","AC091132.1","NA"
"AC091132.5","AC091132.5","NA"
"LINC02210.CRHR1","LINC02210-CRHR1","NA"
"AC217774.1","AC217774.1","NA"
"AC217774.2","AC217774.2","NA"
"CRHR1","CRHR1","NA"
"MAPT.AS1","MAPT-AS1","NA"
"SPPL2C","SPPL2C","NA"
"MAPT","MAPT","NA"
"CR936218.2","CR936218.2","NA"
"STH","STH","NA"
"KANSL1","KANSL1","NA"
"CR936218.1","CR936218.1","NA"
"KANSL1.AS1","KANSL1-AS1","NA"
"ARL17B","ARL17B","NA"
"LRRC37A","LRRC37A","NA"
"LRRC37A2","LRRC37A2","NA"
"ARL17A","ARL17A","NA"
"FAM215B","FAM215B","NA"
"NSF","NSF","NA"
